userid,instituitionName,major,degree,startdate,enddate
Magnus.Klein,Twitterbridge,mbbs,bachelor,2/5/86,12/30/31
Lorine_Hickle,Oba,history,master,12/7/02,9/13/06
Susie.Ebert,Twimm,eletrical,doctrate,2/15/48,4/9/13
Terence,Flashpoint,civil,master,8/28/88,11/27/19
Ron_Farrell,Wikivu,economics,master,2/15/01,5/31/37
Johanna.O'Keefe,Youspan,history,doctrate,4/20/08,11/28/77
Janet,Tazz,history,master,1/6/98,5/19/21
Gladyce,Yakitri,history,doctrate,9/6/64,2/14/83
Raphael_Mante,Fivespan,economics,doctrate,9/24/03,9/25/49
Thea.McClure,Skippad,philosophy,doctrate,7/13/35,7/2/76
Javon_Braun,Devpoint,philosophy,master,7/17/14,12/28/88
Gussie,Jabbersphere,computer science,master,6/3/45,12/20/07
Adah.Cole,Omba,economics,bachelor,5/22/01,11/17/60
Anastacio,Flipstorm,civil,master,1/12/80,6/25/22
Sadye.Green,Ainyx,eletrical,doctrate,11/24/67,6/4/73
Boyd,Ozu,mathematics,doctrate,3/12/79,10/27/54
Cordell,Realcube,chemistry,master,10/1/77,6/7/32
Kayla,Devify,civil,doctrate,5/12/30,12/18/42
Blair_Weissnat,Babbleblab,history,doctrate,6/16/14,12/10/94
Orlando,Vitz,civil,master,6/5/86,6/26/13
Rebeca.Satterfield,Dynabox,computer science,master,12/7/89,5/5/81
Major,Kwideo,agriculture,doctrate,10/17/10,11/5/69
Sherwood_Dicki,Babbleblab,mathematics,doctrate,5/15/82,1/12/98
Berenice_Feeney,Tagchat,biology,master,2/17/60,12/31/32
Aubrey_Larkin,Voolith,history,doctrate,10/20/37,11/29/09
Jan_Torphy,Centimia,agriculture,doctrate,4/8/08,4/9/05
Florian.Pfannerstill,Dynabox,history,bachelor,5/28/31,6/6/23
Jessika,Lazz,chemistry,bachelor,9/4/97,3/29/41
Rossie_Pfannerstill,Tanoodle,agriculture,doctrate,8/22/59,4/3/38
Camila_Daugherty,Rhyloo,civil,master,11/19/30,7/3/08
Mabel,Zoovu,physics,bachelor,1/4/34,3/25/43
Alessandro,Skiptube,eletrical,doctrate,6/4/00,8/21/80
